scenario,detections,latency,vote_weight,precision,recall,quarantines
benign,2,0.02986288070678711,3.0,1.0,1.0,0
benign,1,0.026412010192871094,3.0,1.0,1.0,0
benign,1,0.024205923080444336,3.0,1.0,1.0,0
benign,1,0.0368494987487793,3.0,1.0,1.0,0
benign,1,0.027787446975708008,3.0,1.0,1.0,0
benign,1,0.026386260986328125,3.0,1.0,1.0,0
benign,1,0.027156829833984375,3.0,1.0,1.0,0
benign,1,0.02388787269592285,3.0,1.0,1.0,0
benign,1,0.026444673538208008,3.0,1.0,1.0,0
benign,1,0.023716449737548828,3.0,1.0,1.0,0
attack1,3,3.018250068028768,1.6666666666666667,1.0,0.5,1
attack1,2,5.0646099090576175,1.4,1.0,0.4,0
attack1,5,4.486422618230184,2.0,1.0,0.8333333333333334,0
attack1,2,3.630815315246582,1.4,1.0,0.4,1
attack1,1,4.522294700145721,1.5,1.0,0.25,0
attack1,1,5.022441327571869,1.0,1.0,0.25,1
attack1,2,4.695316171646118,1.2,1.0,0.4,1
attack1,1,5.016803622245789,1.5,1.0,0.25,0
attack1,10,2.5026395082473756,2.1,1.0,1.0,0
attack1,0,6.013007402420044,0.6666666666666666,0.0,0.0,1
attack2,2,4.517726480960846,1.131,1.0,0.25,1
attack2,1,5.445806537355695,1.2891428571428571,1.0,0.14285714285714285,0
attack2,0,6.021425167719523,1.3333333333333333,0.0,0.0,0
attack2,1,5.906767402376447,0.8605714285714285,1.0,0.14285714285714285,2
attack2,4,4.341280055046082,1.0048,1.0,0.4,4
attack2,2,5.422410160303116,1.131,1.0,0.25,1
attack2,2,4.766023337841034,0.878,1.0,0.25,3
attack2,0,6.018082976341248,0.6666666666666666,0.0,0.0,2
attack2,3,4.282210244072808,1.2580740740740741,1.0,0.3333333333333333,2
attack2,1,5.90195233481271,1.0,1.0,0.14285714285714285,2
